Pub_date,Topics,Title,Author,Publisher,Language,Description,Access_restricted,Added_date,Pdf_link,TXT_link,ISBN
1998,"Eliot, George, 1819-1880 -- Diaries.",The journals of George Eliot,George Eliot,Cambridge University Press,English,#Null,#Null,#Null,#Null,#Null,[]
2009,"Eliot, George, 1819-1880 -- Criticism and interpretation",George Eliot,#Null,New York : Bloom's Literary Criticism,English,"George Eliot is perhaps most appreciated for her ability to synthesize moral and aesthetic concerns. She has been compared to Shakespeare and Dante in her role as a moral authority. This volume presents the evolving scope of Eliot's critical reputation, offering valuable insight into her classic novels including ""Middlemarch"", ""Daniel Deronda"", ""Adam Bede"", ""Silas Marner"", and ""The Mill on the Floss"". There are a chronology of the author's life, an index, and an introduction by esteemed scholar Harold Bloom that round out this latest edition to the ""Bloom's Classic Critical Views"" series --Product Description",true,2020-12-27 08:01:37,#Null,#Null,"['9781604134339', '160413433X']"
2001,"Eliot, George, 1819-1880",George Eliot,"Leigh, Peter",London : Hodder & Stoughton,English,"Published in association with The Basic Skills Agency
",true,2022-01-26 04:10:00,#Null,#Null,"['034080095X', '9780340800959']"
2002,"Eliot, George, 1819-1880 -- Criticism and interpretation",George Eliot,"Nestor, Pauline","Houndmills, Basingstoke, Hampshire ; New York : Palgrave",English,Includes bibliographical references and index,true,2021-05-11 19:00:35,#Null,#Null,[]
1991,"Eliot, George, 1819-1880 -- Criticism and interpretation",George Eliot,#Null,London ; New York : Longman,English,"Includes bibliographical references and index
",true,2020-06-27 09:06:19,#Null,#Null,"['0582040639', '0582040647']"
2007,"Eliot, George, 1819-1880 -- Criticism and interpretation",George Eliot,"Je̦drzejewski, Jan",New York : Routledge,English,"Includes bibliographical references and index
",true,2020-07-08 14:08:11,#Null,#Null,"['9780415202497', '9780415202503']"
1992,"Eliot, George, 1819-1880",George Eliot,"Brady, Kristin, 1949-",New York : St. Martin's Press,English,#Null,true,2014-04-22 16:12:03.80366,#Null,#Null,"['0312060599', '9780312060596']"
1993,"Eliot, George, 1819-1880",George Eliot,"Bellringer, Alan W",New York : St. Martin's Press,English,#Null,true,2012-11-28 22:47:37,#Null,#Null,[]
1996,"Eliot, George, 1819-1880",George Eliot : a life,"Ashton, Rosemary, 1947-",London : Hamish Hamilton,English,"""Born in the same year as Queen Victoria herself, George Eliot gives the finest definition of the Victorian age both in her life and her unequalled fiction. Moving from provincial piety to metropolitan scepticism, from solitary spinsterhood to stimulating partnership, from sexual frustration to sexual fulfilment, her life shares the complexity and honesty of her novels."" ""Rosemary Ashton examines Adam Bede, Silas Marner, The Mill on the Floss, Felix Holt and the unsurpassed Middlemarch, which all explore the tension between the urge to conform and the imperatives of both the heart and the mind - a paradox which is reflected in George Eliot's life."" ""This magnificent biography is a detailed examination of the life and writing of George Eliot. Rosemary Ashton illuminates our understanding of both and reveals the choices and originality of a most remarkable woman.""--Jacket",true,2020-12-30 17:01:55,#Null,#Null,"['0241134730', '9780241134733', '0192876260', '9780192876263']"
2009,"Eliot, George, 1819-1880. Middlemarch","Middlemarch, George Eliot","Cowley, Julian",Harlow : Longman ; London : York Press,English,"Previous edition: Harlow : Longman, 2000",true,2021-10-28 07:06:10,#Null,#Null,"['9781408217269', '1408217260']"
2000,"Eliot, George, 1819-1880. Middlemarch","Middlemarch, George Eliot","Cowley, Julian",Harlow : Longman,English,#Null,true,2021-07-26 14:01:12,#Null,#Null,[]
1991,"Eliot, George, 1819-1880. -- Middlemarch","George Eliot, Middlemarch","Chase, Karen, 1952-",Cambridge ; New York : Cambridge University Press,English,"Includes bibliographical references (p. 97-99)
",true,2021-05-19 13:01:15,#Null,#Null,"['0521350212', '0521359155']"
2003,"Eliot, George, 1819-1880 -- Criticism and interpretation",George Eliot : a beginner's guide,#Null,Longon : Hodder & Stoughton,English,George Eliot -- A Beginner's Guide introduces you to the life and work of one of the greatest nineteenth-century novelists. In this guide Eliot's themes are explored with reference to her major novels. Both contemporary and modern critical approaches to her work are clearly considered and presented. Book jacket,true,2020-02-26 17:02:14,#Null,#Null,"['0340857315', '9780340857311']"
1995,Women detectives -- Hawaii -- Fiction,The George Eliot murders,"Skom, Edith",New York : Delacorte Press,English,#Null,true,2021-02-21 17:00:45,#Null,#Null,[]
1993,"Eliot, George, 1819-1880",George Eliot : godless woman,"Spittles, Brian",New York : St. Martin's Press,English,#Null,true,2014-03-10 16:25:36.029889,#Null,#Null,['georgeeliotgodle00spit']
1996,Women detectives,The George Eliot murders,"Skom, Edith",New York : Dell,English,#Null,true,2011-09-22 17:41:45,#Null,#Null,[]
1997,"Eliot, George, 1819-1880",George Eliot : a life,"Ashton, Rosemary, 1947-",London : Penguin Books,English,"Includes bibliographical references (p. 433-440) and index
",true,2021-04-29 12:00:58,#Null,#Null,[]
1995,"Eliot, George, 1819-1880 -- Biography",George Eliot : a biography,"Karl, Frederick Robert, 1927-",London : HarperCollins,English,"Includes index
",true,2020-12-10 05:57:29,#Null,#Null,['0002555743']
1,West Bengal Public Library,THE WORKS OF GEORGE ELIOT,"BEDE, ADAM","WILLIAM BLACKWOOD, EDINBURGH",English,#Null,#Null,2018-09-26 12:35:50,/download/dli.bengal.10689.14616/10689.14616.pdf,/stream/dli.bengal.10689.14616/10689.14616_djvu.txt,[]
2003,#Null,GEORGE ELIOT: THE NOVELS.,MIKE EDWARDS,PALGRAVE MACMILLAN,und,#Null,#Null,#Null,#Null,#Null,[]
